ACC10000000120241001093000CREDIT00050000Payroll Direct Deposit    TXN20241001001DIRECT-DEP
ACC10000000120241003141500DEBIT 00012500Grocery Store Purchase    TXN20241003001POS       
ACC10000000120241005102200DEBIT 00035000Rent Payment              TXN20241005001BILL-PAY  
ACC10000000120241008154500CREDIT00025000Transfer from Savings     TXN20241008001TRANSFER  
ACC10000000120241010083000DEBIT 00008500Utility Bill Payment      TXN20241010001BILL-PAY  
ACC10000000120241015093000CREDIT00050000Payroll Direct Deposit    TXN20241015001DIRECT-DEP
ACC10000000120241017120000DEBIT 00015000ATM Withdrawal            TXN20241017001ATM       
ACC10000000120241020165500DEBIT 00007500Restaurant Purchase       TXN20241020001POS       
ACC10000000220241002100000CREDIT00010000Interest Credit           TXN20241002001INTEREST  
ACC10000000220241010143000DEBIT 00002500Account Fee               TXN20241010002FEE       
ACC10000000320241005120000CREDIT00030000Paycheck Deposit          TXN20241005002DEPOSIT   
ACC10000000320241012091500DEBIT 00012000Gas Station Purchase      TXN20241012001POS       
ACC10000000320241018160000DEBIT 00005500Online Shopping           TXN20241018001ECOMMERCE 
